time,hr
2019-01-15 04:00:29 +0700,52
2019-01-15 04:00:32 +0700,53
2019-01-15 04:00:35 +0700,52
2019-01-15 04:00:44 +0700,48
2019-01-15 04:00:48 +0700,50
2019-01-15 04:00:53 +0700,50
2019-01-15 04:00:55 +0700,50
2019-01-15 04:01:02 +0700,49
2019-01-15 04:01:07 +0700,50
2019-01-15 04:01:12 +0700,52
2019-01-15 04:01:19 +0700,53
2019-01-15 04:01:22 +0700,52
2019-01-15 04:01:28 +0700,51
2019-01-15 04:01:33 +0700,51
2019-01-15 04:01:35 +0700,52
2019-01-15 04:01:40 +0700,56
2019-01-15 04:01:48 +0700,64
2019-01-15 04:01:54 +0700,56
2019-01-15 04:01:59 +0700,52
2019-01-15 04:02:04 +0700,51
2019-01-15 04:02:08 +0700,52
2019-01-15 04:02:14 +0700,53
2019-01-15 04:02:19 +0700,52
2019-01-15 04:02:24 +0700,52
2019-01-15 04:02:28 +0700,53
2019-01-15 04:02:32 +0700,53
2019-01-15 04:02:35 +0700,52
2019-01-15 04:02:44 +0700,50
2019-01-15 04:02:45 +0700,51
2019-01-15 04:02:54 +0700,53
2019-01-15 04:02:55 +0700,53
2019-01-15 04:03:00 +0700,51
2019-01-15 04:03:09 +0700,49
2019-01-15 04:03:12 +0700,49
2019-01-15 04:03:15 +0700,49
2019-01-15 04:03:24 +0700,49
2019-01-15 04:03:25 +0700,49
2019-01-15 04:03:34 +0700,49
2019-01-15 04:03:35 +0700,49
2019-01-15 04:03:40 +0700,50
2019-01-15 04:03:45 +0700,50
2019-01-15 04:03:54 +0700,51
2019-01-15 04:03:55 +0700,52
2019-01-15 04:04:01 +0700,52
2019-01-15 04:04:08 +0700,53
2019-01-15 04:04:10 +0700,54
2019-01-15 04:04:17 +0700,56
2019-01-15 04:04:24 +0700,54
2019-01-15 04:04:29 +0700,54
2019-01-15 04:04:30 +0700,53
2019-01-15 04:04:39 +0700,51
2019-01-15 04:04:43 +0700,50
2019-01-15 04:04:45 +0700,50
2019-01-15 04:04:54 +0700,47
2019-01-15 04:04:56 +0700,47
2019-01-15 04:05:04 +0700,48
2019-01-15 04:05:08 +0700,49
2019-01-15 04:05:13 +0700,50
2019-01-15 04:05:17 +0700,49
2019-01-15 04:05:21 +0700,49
2019-01-15 04:05:28 +0700,49
2019-01-15 04:05:33 +0700,49
2019-01-15 04:05:39 +0700,51
2019-01-15 04:05:41 +0700,50
2019-01-15 04:05:49 +0700,49
2019-01-15 04:05:53 +0700,48
2019-01-15 04:05:57 +0700,48
2019-01-15 04:06:01 +0700,49
2019-01-15 04:06:06 +0700,49
2019-01-15 04:06:10 +0700,50
2019-01-15 04:06:18 +0700,50
2019-01-15 04:06:24 +0700,50
2019-01-15 04:06:29 +0700,49
2019-01-15 04:06:30 +0700,49
2019-01-15 04:06:36 +0700,51
2019-01-15 04:06:44 +0700,51
2019-01-15 04:06:47 +0700,50
2019-01-15 04:06:54 +0700,48
2019-01-15 04:06:59 +0700,48
2019-01-15 04:07:00 +0700,48
2019-01-15 04:07:08 +0700,48
2019-01-15 04:07:12 +0700,48
2019-01-15 04:07:18 +0700,48
2019-01-15 04:07:24 +0700,49
2019-01-15 04:07:26 +0700,49
2019-01-15 04:07:32 +0700,47
2019-01-15 04:07:38 +0700,46
2019-01-15 04:07:44 +0700,47
2019-01-15 04:07:45 +0700,48
2019-01-15 04:07:51 +0700,49
2019-01-15 04:07:56 +0700,48
2019-01-15 04:08:01 +0700,48
2019-01-15 04:08:09 +0700,46
2019-01-15 04:08:12 +0700,47
2019-01-15 04:08:18 +0700,48
2019-01-15 04:08:24 +0700,48
2019-01-15 04:08:29 +0700,48
2019-01-15 04:08:34 +0700,49
2019-01-15 04:08:38 +0700,48
2019-01-15 04:08:40 +0700,49
2019-01-15 04:08:48 +0700,50
2019-01-15 04:08:51 +0700,50
2019-01-15 04:08:56 +0700,48
2019-01-15 04:09:04 +0700,48
2019-01-15 04:09:08 +0700,48
2019-01-15 04:09:12 +0700,48
2019-01-15 04:09:15 +0700,48
2019-01-15 04:09:24 +0700,47
2019-01-15 04:09:29 +0700,47
2019-01-15 04:09:34 +0700,47
2019-01-15 04:09:38 +0700,47
2019-01-15 04:09:42 +0700,47
2019-01-15 04:09:48 +0700,48
2019-01-15 04:09:50 +0700,48
2019-01-15 04:09:57 +0700,48
2019-01-15 04:10:01 +0700,48
2019-01-15 04:10:06 +0700,49
2019-01-15 04:10:10 +0700,49
2019-01-15 04:10:19 +0700,49
2019-01-15 04:10:21 +0700,49
2019-01-15 04:10:28 +0700,48
2019-01-15 04:10:32 +0700,48
2019-01-15 04:10:35 +0700,48
2019-01-15 04:10:40 +0700,48
2019-01-15 04:10:45 +0700,49
2019-01-15 04:10:50 +0700,48
2019-01-15 04:10:56 +0700,48
2019-01-15 04:11:02 +0700,49
2019-01-15 04:11:09 +0700,48
2019-01-15 04:11:11 +0700,48
2019-01-15 04:11:19 +0700,48
2019-01-15 04:11:20 +0700,48
2019-01-15 04:11:27 +0700,49
2019-01-15 04:11:34 +0700,49
2019-01-15 04:11:36 +0700,49
2019-01-15 04:11:44 +0700,49
2019-01-15 04:11:48 +0700,48
2019-01-15 04:11:53 +0700,48
2019-01-15 04:11:57 +0700,48
2019-01-15 04:12:03 +0700,48
2019-01-15 04:12:06 +0700,48
2019-01-15 04:12:13 +0700,48
2019-01-15 04:12:15 +0700,48
2019-01-15 04:12:21 +0700,48
2019-01-15 04:12:28 +0700,48
2019-01-15 04:12:31 +0700,48
2019-01-15 04:12:38 +0700,48
2019-01-15 04:12:40 +0700,48
2019-01-15 04:12:47 +0700,49
2019-01-15 04:12:52 +0700,49
2019-01-15 04:12:55 +0700,49
2019-01-15 04:13:03 +0700,50
2019-01-15 04:13:08 +0700,49
2019-01-15 04:13:11 +0700,48
2019-01-15 04:13:19 +0700,48
2019-01-15 04:13:21 +0700,48
2019-01-15 04:13:27 +0700,47
